2018-02-28T14:04:47.232+0800 I STORAGE  [conn1] The size storer reports that the oplog contains 0 records totaling to 0 bytes
2018-02-28T14:04:47.232+0800 I STORAGE  [conn1] Scanning the oplog to determine where to place markers for truncation
2018-02-28T14:04:47.318+0800 I REPL     [conn1] ******
2018-02-28T14:04:47.465+0800 I INDEX    [conn1] build index on: admin.system.version properties: { v: 2, key: { version: 1 }, name: "incompatible_with_version_32", ns: "admin.system.version" }
2018-02-28T14:04:47.465+0800 I INDEX    [conn1] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
2018-02-28T14:04:47.475+0800 I INDEX    [conn1] build index done.  scanned 0 total records. 0 secs
2018-02-28T14:04:47.475+0800 I COMMAND  [conn1] setting featureCompatibilityVersion to 3.4
2018-02-28T14:04:47.475+0800 I REPL     [conn1] New replica set config in use: { _id: "set2", version: 1, protocolVersion: 1, members: [ { _id: 1, host: "127.0.0.1:27004", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 2, host: "127.0.0.1:27005", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 3, host: "127.0.0.1:27006", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 } ], settings: { chainingAllowed: true, heartbeatIntervalMillis: 2000, heartbeatTimeoutSecs: 10, electionTimeoutMillis: 10000, catchUpTimeoutMillis: 60000, getLastErrorModes: {}, getLastErrorDefaults: { w: 1, wtimeout: 0 }, replicaSetId: ObjectId('5a96467f437d9057b78a7f9f') } }
2018-02-28T14:04:47.475+0800 I REPL     [conn1] This node is 127.0.0.1:27004 in the config
2018-02-28T14:04:47.475+0800 I REPL     [conn1] transition to STARTUP2
2018-02-28T14:04:47.475+0800 I REPL     [conn1] Starting replication storage threads
2018-02-28T14:04:47.475+0800 I REPL     [ReplicationExecutor] Member 127.0.0.1:27005 is now in state STARTUP
2018-02-28T14:04:47.475+0800 I REPL     [conn1] Starting replication fetcher thread
2018-02-28T14:04:47.476+0800 I REPL     [conn1] Starting replication applier thread
2018-02-28T14:04:47.476+0800 I REPL     [conn1] Starting replication reporter thread
2018-02-28T14:04:47.476+0800 I COMMAND  [conn1] command local.replset.minvalid appName: "MongoDB Shell" command: replSetInitiate { v: 2, key: { version: 1 }, ns: "admin.system.version", name: "incompatible_with_version_32" } numYields:0 reslen:22 locks:{ Global: { acquireCount: { r: 14, w: 8, W: 2 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 39 } }, Database: { acquireCount: { r: 2, w: 2, W: 6 } }, Collection: { acquireCount: { r: 2, w: 2 } }, Metadata: { acquireCount: { w: 1 } }, oplog: { acquireCount: { w: 2 } } } protocol:op_command 273ms
2018-02-28T14:04:47.476+0800 I REPL     [ReplicationExecutor] Member 127.0.0.1:27006 is now in state STARTUP
2018-02-28T14:04:47.476+0800 I REPL     [rsSync] transition to RECOVERING
2018-02-28T14:04:47.476+0800 I REPL     [rsSync] transition to SECONDARY
2018-02-28T14:04:49.214+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64697 #4 (4 connections now open)
2018-02-28T14:04:49.215+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64698 #5 (5 connections now open)
2018-02-28T14:04:49.215+0800 I -        [conn5] end connection 127.0.0.1:64698 (5 connections now open)
2018-02-28T14:04:49.215+0800 I -        [conn4] end connection 127.0.0.1:64697 (4 connections now open)
2018-02-28T14:04:49.886+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64707 #6 (4 connections now open)
2018-02-28T14:04:49.887+0800 I NETWORK  [conn6] received client metadata from 127.0.0.1:64707 conn6: { driver: { name: "NetworkInterfaceASIO-RS", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:04:49.888+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64708 #7 (5 connections now open)
2018-02-28T14:04:49.888+0800 I NETWORK  [conn7] received client metadata from 127.0.0.1:64708 conn7: { driver: { name: "NetworkInterfaceASIO-RS", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:04:49.894+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64709 #8 (6 connections now open)
2018-02-28T14:04:49.895+0800 I NETWORK  [conn8] received client metadata from 127.0.0.1:64709 conn8: { driver: { name: "NetworkInterfaceASIO-RS", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:04:49.896+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64710 #9 (7 connections now open)
2018-02-28T14:04:49.896+0800 I NETWORK  [conn9] received client metadata from 127.0.0.1:64710 conn9: { driver: { name: "NetworkInterfaceASIO-RS", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:04:52.478+0800 I REPL     [ReplicationExecutor] Member 127.0.0.1:27006 is now in state SECONDARY
2018-02-28T14:04:52.479+0800 I REPL     [ReplicationExecutor] Member 127.0.0.1:27005 is now in state SECONDARY
2018-02-28T14:04:54.892+0800 I -        [conn6] end connection 127.0.0.1:64707 (7 connections now open)
2018-02-28T14:04:54.904+0800 I -        [conn8] end connection 127.0.0.1:64709 (6 connections now open)
2018-02-28T14:04:57.991+0800 I REPL     [ReplicationExecutor] Starting an election, since we've seen no PRIMARY in the past 10000ms
2018-02-28T14:04:57.991+0800 I REPL     [ReplicationExecutor] conducting a dry run election to see if we could be elected
2018-02-28T14:04:57.991+0800 I REPL     [ReplicationExecutor] VoteRequester(term 0 dry run) received a yes vote from 127.0.0.1:27006; response message: { term: 0, voteGranted: true, reason: "", ok: 1.0 }
2018-02-28T14:04:57.991+0800 I REPL     [ReplicationExecutor] dry election run succeeded, running for election
2018-02-28T14:04:58.132+0800 I REPL     [ReplicationExecutor] VoteRequester(term 1) received a yes vote from 127.0.0.1:27005; response message: { term: 1, voteGranted: true, reason: "", ok: 1.0 }
2018-02-28T14:04:58.132+0800 I REPL     [ReplicationExecutor] election succeeded, assuming primary role in term 1
2018-02-28T14:04:58.133+0800 I REPL     [ReplicationExecutor] transition to PRIMARY
2018-02-28T14:04:58.133+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Ending connection to host 127.0.0.1:27006 due to bad connection status; 0 connections to that host remain open
2018-02-28T14:04:58.133+0800 I REPL     [ReplicationExecutor] Entering primary catch-up mode.
2018-02-28T14:04:58.133+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27006
2018-02-28T14:04:58.133+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to 127.0.0.1:27006, took 0ms (1 connections now open to 127.0.0.1:27006)
2018-02-28T14:04:58.133+0800 I REPL     [ReplicationExecutor] Caught up to the latest optime known via heartbeats after becoming primary.
2018-02-28T14:04:58.133+0800 I REPL     [ReplicationExecutor] Exited primary catch-up mode.
2018-02-28T14:04:59.503+0800 I REPL     [rsSync] transition to primary complete; database writes are now permitted
2018-02-28T14:05:00.385+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64733 #10 (6 connections now open)
2018-02-28T14:05:00.385+0800 I NETWORK  [conn10] received client metadata from 127.0.0.1:64733 conn10: { driver: { name: "NetworkInterfaceASIO-RS", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:05:00.406+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64734 #11 (7 connections now open)
2018-02-28T14:05:00.406+0800 I NETWORK  [conn11] received client metadata from 127.0.0.1:64734 conn11: { driver: { name: "NetworkInterfaceASIO-RS", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:05:06.228+0800 I -        [conn1] end connection 127.0.0.1:64682 (7 connections now open)
2018-02-28T14:24:24.264+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:50426 #12 (7 connections now open)
2018-02-28T14:24:24.266+0800 I NETWORK  [conn12] received client metadata from 127.0.0.1:50426 conn12: { driver: { name: "MongoDB Internal Client", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:24:24.267+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:50428 #13 (8 connections now open)
2018-02-28T14:24:24.268+0800 I NETWORK  [conn13] received client metadata from 127.0.0.1:50428 conn13: { driver: { name: "AddShard-TaskExecutor", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:24:24.269+0800 I COMMAND  [conn13] setting featureCompatibilityVersion to 3.4
2018-02-28T14:24:24.377+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:50430 #14 (9 connections now open)
2018-02-28T14:24:24.378+0800 I NETWORK  [conn14] received client metadata from 127.0.0.1:50430 conn14: { driver: { name: "MongoDB Internal Client", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:24:45.371+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:50482 #15 (10 connections now open)
2018-02-28T14:24:45.371+0800 I NETWORK  [conn15] received client metadata from 127.0.0.1:50482 conn15: { driver: { name: "MongoDB Internal Client", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:24:50.460+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:50492 #16 (11 connections now open)
2018-02-28T14:24:50.460+0800 I NETWORK  [conn16] received client metadata from 127.0.0.1:50492 conn16: { driver: { name: "MongoDB Internal Client", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:29:24.335+0800 I -        [conn13] end connection 127.0.0.1:50428 (11 connections now open)
2018-02-28T16:35:52.622+0800 I CONTROL  [main] ***** SERVER RESTARTED *****
2018-02-28T16:35:52.652+0800 I CONTROL  [initandlisten] MongoDB starting : pid=39039 port=27004 dbpath=/usr/local/mongo-cluster-sharding/shards/node4/data/db 64-bit host=kieren.local
2018-02-28T16:35:52.652+0800 I CONTROL  [initandlisten] db version v3.4.7
2018-02-28T16:35:52.652+0800 I CONTROL  [initandlisten] git version: cf38c1b8a0a8dca4a11737581beafef4fe120bcd
2018-02-28T16:35:52.652+0800 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 0.9.8zg 14 July 2015
2018-02-28T16:35:52.652+0800 I CONTROL  [initandlisten] allocator: system
2018-02-28T16:35:52.652+0800 I CONTROL  [initandlisten] modules: none
2018-02-28T16:35:52.652+0800 I CONTROL  [initandlisten] build environment:
2018-02-28T16:35:52.652+0800 I CONTROL  [initandlisten]     distarch: x86_64
2018-02-28T16:35:52.652+0800 I CONTROL  [initandlisten]     target_arch: x86_64
2018-02-28T16:35:52.652+0800 I CONTROL  [initandlisten] options: { config: "node4/mongodb.conf", net: { bindIp: "127.0.0.1", port: 27004 }, processManagement: { fork: true }, replication: { replSet: "set2" }, storage: { dbPath: "/usr/local/mongo-cluster-sharding/shards/node4/data/db" }, systemLog: { destination: "file", logAppend: true, path: "/usr/local/mongo-cluster-sharding/shards/node4/log/mongodb.log" } }
2018-02-28T16:35:52.652+0800 W -        [initandlisten] Detected unclean shutdown - /usr/local/mongo-cluster-sharding/shards/node4/data/db/mongod.lock is not empty.
2018-02-28T16:35:52.654+0800 I -        [initandlisten] Detected data files in /usr/local/mongo-cluster-sharding/shards/node4/data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2018-02-28T16:35:52.654+0800 W STORAGE  [initandlisten] Recovering data from the last clean checkpoint.
2018-02-28T16:35:52.654+0800 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3584M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2018-02-28T16:35:54.377+0800 I STORAGE  [initandlisten] Starting WiredTigerRecordStoreThread local.oplog.rs
2018-02-28T16:35:54.377+0800 I STORAGE  [initandlisten] The size storer reports that the oplog contains 846 records totaling to 81548 bytes
2018-02-28T16:35:54.377+0800 I STORAGE  [initandlisten] Scanning the oplog to determine where to place markers for truncation
2018-02-28T16:35:54.436+0800 I CONTROL  [initandlisten] 
2018-02-28T16:35:54.436+0800 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2018-02-28T16:35:54.436+0800 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2018-02-28T16:35:54.436+0800 I CONTROL  [initandlisten] 
2018-02-28T16:35:54.436+0800 I CONTROL  [initandlisten] 
2018-02-28T16:35:54.436+0800 I CONTROL  [initandlisten] ** WARNING: soft rlimits too low. Number of files is 256, should be at least 1000
2018-02-28T16:35:54.450+0800 W SHARDING [initandlisten] Not started with --shardsvr, but a shardIdentity document was found on disk in admin.system.version: { _id: "shardIdentity", clusterId: ObjectId('5a9649989ac5bc9267871b97'), shardName: "set2", configsvrConnectionString: "configset/127.0.0.1:28001,127.0.0.1:28002,127.0.0.1:28003" }
2018-02-28T16:35:54.462+0800 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/usr/local/mongo-cluster-sharding/shards/node4/data/db/diagnostic.data'
2018-02-28T16:35:54.463+0800 I NETWORK  [thread1] waiting for connections on port 27004
2018-02-28T16:35:54.463+0800 W NETWORK  [replExecDBWorker-0] Failed to connect to 127.0.0.1:27005, in(checking socket for error after poll), reason: Connection refused
2018-02-28T16:35:54.464+0800 W NETWORK  [replExecDBWorker-0] Failed to connect to 127.0.0.1:27006, in(checking socket for error after poll), reason: Connection refused
2018-02-28T16:35:54.464+0800 I REPL     [replExecDBWorker-0] New replica set config in use: { _id: "set2", version: 1, protocolVersion: 1, members: [ { _id: 1, host: "127.0.0.1:27004", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 2, host: "127.0.0.1:27005", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 3, host: "127.0.0.1:27006", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 } ], settings: { chainingAllowed: true, heartbeatIntervalMillis: 2000, heartbeatTimeoutSecs: 10, electionTimeoutMillis: 10000, catchUpTimeoutMillis: 60000, getLastErrorModes: {}, getLastErrorDefaults: { w: 1, wtimeout: 0 }, replicaSetId: ObjectId('5a96467f437d9057b78a7f9f') } }
2018-02-28T16:35:54.464+0800 I REPL     [replExecDBWorker-0] This node is 127.0.0.1:27004 in the config
2018-02-28T16:35:54.464+0800 I REPL     [replExecDBWorker-0] transition to STARTUP2
2018-02-28T16:35:54.464+0800 I REPL     [replExecDBWorker-0] Starting replication storage threads
2018-02-28T16:35:54.464+0800 I REPL     [replExecDBWorker-0] Starting replication fetcher thread
2018-02-28T16:35:54.464+0800 I REPL     [replExecDBWorker-0] Starting replication applier thread
2018-02-28T16:35:54.464+0800 I REPL     [replExecDBWorker-0] Starting replication reporter thread
2018-02-28T16:35:54.464+0800 I REPL     [rsSync] transition to RECOVERING
2018-02-28T16:35:54.464+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27005
2018-02-28T16:35:54.464+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27006
2018-02-28T16:35:54.465+0800 I REPL     [rsSync] transition to SECONDARY
2018-02-28T16:35:54.465+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to 127.0.0.1:27005 - HostUnreachable: Connection refused
2018-02-28T16:35:54.466+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to 127.0.0.1:27005 due to failed operation on a connection
2018-02-28T16:35:54.466+0800 I REPL     [ReplicationExecutor] Error in heartbeat request to 127.0.0.1:27005; HostUnreachable: Connection refused
2018-02-28T16:35:54.466+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to 127.0.0.1:27006 - HostUnreachable: Connection refused
2018-02-28T16:35:54.466+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to 127.0.0.1:27006 due to failed operation on a connection
2018-02-28T16:35:54.466+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27005
2018-02-28T16:35:54.466+0800 I REPL     [ReplicationExecutor] Error in heartbeat request to 127.0.0.1:27006; HostUnreachable: Connection refused
2018-02-28T16:35:54.466+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27006
2018-02-28T16:35:54.466+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to 127.0.0.1:27005 - HostUnreachable: Connection refused
2018-02-28T16:35:54.466+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to 127.0.0.1:27005 due to failed operation on a connection
2018-02-28T16:35:54.466+0800 I REPL     [ReplicationExecutor] Error in heartbeat request to 127.0.0.1:27005; HostUnreachable: Connection refused
2018-02-28T16:35:54.466+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to 127.0.0.1:27006 - HostUnreachable: Connection refused
2018-02-28T16:35:54.467+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to 127.0.0.1:27006 due to failed operation on a connection
2018-02-28T16:35:54.467+0800 I REPL     [ReplicationExecutor] Error in heartbeat request to 127.0.0.1:27006; HostUnreachable: Connection refused
2018-02-28T16:35:54.467+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27005
2018-02-28T16:35:54.467+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27006
2018-02-28T16:35:54.467+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to 127.0.0.1:27005 - HostUnreachable: Connection refused
2018-02-28T16:35:54.467+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to 127.0.0.1:27005 due to failed operation on a connection
2018-02-28T16:35:54.467+0800 I REPL     [ReplicationExecutor] Error in heartbeat request to 127.0.0.1:27005; HostUnreachable: Connection refused
2018-02-28T16:35:54.467+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to 127.0.0.1:27006 - HostUnreachable: Connection refused
2018-02-28T16:35:54.467+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to 127.0.0.1:27006 due to failed operation on a connection
2018-02-28T16:35:54.467+0800 I REPL     [ReplicationExecutor] Error in heartbeat request to 127.0.0.1:27006; HostUnreachable: Connection refused
2018-02-28T16:35:55.022+0800 I FTDC     [ftdc] Unclean full-time diagnostic data capture shutdown detected, found interim file, some metrics may have been lost. OK
2018-02-28T16:35:59.471+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27005
2018-02-28T16:35:59.471+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27006
